,RegionName,one_month_sign_acc,quarter_sign_acc,year_sign_acc,one_month_diff,quarter_diff,year_diff,time_used
40,78245,1,1,1,0.27658255271507776,1.0437492475748413,1.397412106965814,1
41,11219,0,0,0,9.126825448844693e-05,0.8000912682564796,0.6000949020723878,1
42,92503,0,0,1,0.3775425543300711,1.1663596584182816,1.6748844446911062,1
43,78521,0,0,1,0.40053298301751183,1.4005329830226612,1.1994642348096303,1
44,11206,0,0,0,0.5002675011815425,1.7003343299632492,0.3003408572148015,1
45,11221,1,1,1,0.09529774280753019,1.3945568763361058,0.7945426747022603,1
46,10456,0,0,1,0.22317370654246416,0.44009948753385175,0.4623142405834678,1
47,92345,1,1,1,0.11883545041622848,0.32873976912374414,0.3134029075862552,1
48,77479,1,0,0,0.1696501036687578,1.003713020923947,4.124883890976235,1
49,91911,0,0,1,0.506620046079544,1.7473543412456296,2.213538035827461,1
50,30043,0,0,1,0.25900522426450134,1.2753526340266006,2.476872680647271,1
51,11223,0,0,0,9.052622012755255e-05,0.5000905262070354,0.9000855495228168,1
52,78542,1,1,1,0.32403203344739573,0.31742579450240754,2.763507346679149,1
53,78613,0,0,0,0.5038791741427374,1.807794179867589,2.1102578041419635,1
54,11230,1,1,1,0.2939527561703662,1.1905886985805096,1.18997418944962,1
55,60647,0,0,0,0.1005792543701262,0.40094905539903325,1.1010774217863872,1
56,93033,0,0,0,0.5218482144979603,2.0515677161155823,6.367196704883431,1
57,95076,0,0,0,0.3004806795794989,1.2006954623933055,1.5007365902966814,1
58,92154,0,0,1,0.46782313809690396,1.633514939056627,1.7202105013045974,1
59,77429,0,0,0,0.10062705443834384,0.7007537310089528,1.1007627857221916,1
60,10458,1,1,1,0.29638009988898173,0.3182242873747787,5.324297043548099,1
61,92376,1,1,1,0.11236489983510232,0.48728653170941616,0.698869510143999,1
62,60804,0,0,0,0.6073859882729296,1.9218694027969017,6.986403914621525,1
63,11377,1,1,1,0.28655823370672767,1.5768354508724183,0.773885113925625,1
64,79938,0,0,1,0.08699843293458091,0.46055751884926055,0.14055282911716172,1
65,92804,1,1,1,0.3956128676011072,1.3836520125479983,6.580041591631953,1
66,91710,1,1,1,0.18508750959655965,0.3952948100082876,1.446678436340791,1
67,93722,0,0,0,0.2050023660762488,0.9807046551495447,1.923801380154171,1
68,94112,1,1,1,0.4956565889084955,1.5919800379253952,3.990418616580894,1
69,99301,1,1,1,0.0785778371635403,0.578608704732969,0.3999151033900153,1
70,11235,0,0,0,6.272024322903466e-05,1.0000627202433106,0.8000632742671198,1
71,60632,1,0,0,0.46723494089547946,2.0010243671911496,7.600734246498586,1
72,77584,0,1,0,0.10850808764161474,0.29149672488734385,0.9000850765148602,1
73,11229,0,1,1,0.0017526272141828423,0.6976694980711146,0.7976282781582695,1
74,95823,0,0,0,0.47834430161482616,1.5108931024504912,3.57812552352895,1
75,78130,0,0,0,0.30020573590544763,1.2002057360783422,1.6002352861601863,1
76,60617,0,0,0,0.7260973845827039,2.377205265233962,8.805809594884023,1
77,22193,1,1,0,0.16464042654249483,1.1934608370318447,6.470217345022167,1
78,11233,1,0,0,0.27493614968610336,2.0246508459752084,4.997718774213693,1
79,75217,0,0,0,0.5076973711005414,1.0082047384261779,1.1082069509001586,1
80,10453,0,0,0,0.6325941476694058,1.2838122344077907,0.8877101354196799,1
81,27587,1,1,0,0.07902375986791153,0.879044492981974,0.10003199717340895,1
82,73099,1,0,1,0.005871742992717158,0.5168360472284168,0.7656172425239038,1
83,77379,0,0,0,0.19075615560875386,0.9690443751224078,2.2256254037652416,1
84,96706,0,1,1,4.6716191346812125e-05,0.2999347340296293,1.0999332829752695,1
85,11204,1,1,1,0.09924084900865392,0.5989015198380746,0.8988617412311082,1
86,37042,0,0,1,0.12932803541601626,0.7835099037459381,0.2368730774510459,1
87,85142,0,0,1,0.34171579466774354,1.4058677982794094,0.026858141010274478,1
88,30024,1,0,1,0.23042951639277318,1.1283012650219095,2.0152896478875704,1
89,10468,0,0,0,0.10159918331108266,1.7026051640792979,1.3029236827851483,1
90,79928,1,0,1,0.0996487526257284,0.10035236616131414,1.0996426000528579,1
91,95035,1,0,1,0.199969529136435,0.40001875084786875,1.4999660114219078,1
92,91744,1,1,0,0.3999425003389094,0.7999668550020858,0.3000764450588262,1
93,60608,0,1,1,0.16235897757470003,0.11554322102525849,0.7867190753189386,1
94,11355,0,0,0,0.16795919883458788,1.2037191538500398,2.3141763996025415,1
95,92509,0,0,1,0.2654245442339784,0.8247304824758742,1.27350090346654,1
