,RegionName,one_month_sign,quarter_sign,year_sign,month_diff,quarter_diff,year_diff
10154,12197.0,0,0,0,61.54133599604649,62.700525636688646,61.163970936032854
10155,42355.0,0,0,1,88.93135987596311,89.86409738708127,88.5622765697227
10156,15436.0,0,0,0,130.41429339787067,131.56194645581942,131.03224773451774
10157,6060.0,0,0,0,43.62600634349769,44.38818976521229,45.24655300792832
10158,49051.0,0,0,1,11.778917422734745,12.247041628512477,11.48378367096199
10159,37337.0,0,0,0,39.25676968627751,40.16938327262036,38.84330573175666
10160,38229.0,0,0,1,103.69464638512045,104.97614284255143,102.56788168408931
10161,74002.0,1,0,1,145.97195946998278,147.65096959776096,144.28643075523001
10162,5673.0,1,1,0,44.58814331762836,44.55155614840235,44.96544581111829
10163,31075.0,0,0,0,78.83975159347561,80.00479308238339,79.94806299472938
10164,31827.0,0,0,0,185.693241059189,188.47585456466555,185.3766590505245
10165,1337.0,0,0,0,20.50553308500637,20.73069750570447,21.72498723320623
10166,44878.0,0,0,1,43.75909548271204,44.2169775318411,42.056586847587
10167,1257.0,0,0,0,42.048492907284846,42.38020857251801,43.72154651861791
10168,68527.0,0,1,0,40.46122342287691,39.989389612051156,40.331680016192394
10169,2556.0,0,1,0,69.3797702988513,69.49675958511277,71.69421712324997
10170,37178.0,1,1,1,33.86637270948909,33.36241144952858,32.43237673872913
10171,31017.0,0,0,1,117.81428944886174,119.09915016298167,116.92919070801528
10172,77430.0,1,1,1,8.927247136822107,8.577321058997146,7.91805717358011
10173,12920.0,0,0,1,91.48562834074555,92.62309155945904,91.11645915354528
10174,3902.0,0,0,0,59.33794112508742,59.781385489328784,61.814839629182345
10175,21539.0,0,0,0,175.4852674842944,177.11539745180684,176.2652774213985
10176,40507.0,0,0,0,17.384679911798347,17.482484718943606,18.077291126871014
10177,20662.0,1,1,1,20.884693359671726,20.621090421675486,20.09373354753119
10178,40510.0,0,0,0,56.22310696642645,56.854607569845236,56.841456902241966
10179,13042.0,1,1,1,31.731148397819283,31.618536626707467,29.889561580375663
10180,20861.0,0,0,1,67.8204776186672,68.01181035735323,66.40998999672006
10181,14741.0,1,0,1,43.830079041138326,44.28288647502468,42.63191169922662
10182,30056.0,1,1,0,6.3283203514804915,5.969951876663443,7.10822581266933
10183,74865.0,1,1,1,60.62924305506197,61.09229962954407,60.645830138472725
10184,3447.0,0,0,0,19.902559103682794,20.520587865066446,23.64563895563954
10185,14033.0,0,0,0,10.237973718893587,10.205449622638998,11.345229750727768
10186,72102.0,0,0,1,76.14620769242616,76.79223183453354,75.64763753558799
10187,13424.0,1,1,1,34.82682792314475,34.62930876853885,33.20455116395712
10188,49092.0,0,0,0,72.63996138389008,73.86702581704016,72.64694644125463
10189,37694.0,0,0,1,35.47183829958917,35.86100807389262,33.25449364660614
10190,48460.0,0,0,0,33.5738924359881,33.78213164490125,33.401037074177154
10191,12926.0,0,0,0,117.98015049671187,119.47679077222377,118.2072419484188
10192,12859.0,0,1,1,13.423047635415566,13.30163873105049,13.311534592892286
10193,92561.0,0,0,0,45.52918144851776,46.40007371852122,45.899902642430064
10194,32798.0,1,1,0,0.6345012332747393,0.16057710748547926,1.419958985681435
10195,18077.0,0,0,0,35.78630010110343,36.09138784376629,36.0832613168871
10196,12023.0,0,0,1,4.7998837888141415,5.121863865522528,4.579657732068698
10197,55949.0,0,1,1,1.0122746895614296,0.12352752867275674,0.17146699657501374
10198,13417.0,1,1,1,45.9814850081521,45.94836362049701,44.65931277153765
10199,64125.0,0,0,1,260.892797811366,263.20662171057705,260.26299581684015
10200,49220.0,0,0,0,37.41885525981104,38.24453796792217,38.06801724240887
10201,31560.0,1,1,1,60.12191926257771,60.36397438990852,59.482488370160766
10202,14476.0,0,0,1,31.889381976588094,32.47219778603067,29.78294374365628
10203,97437.0,0,1,1,40.68148485578459,40.809812660092476,40.52502365097062
10204,71949.0,0,0,1,108.68530814207618,110.13473403814332,108.08450592887817
10205,14170.0,0,0,0,13.00789749572049,12.992813095377855,14.116415576620192
10206,49235.0,0,0,0,54.19024787832269,55.207651877570186,54.609473089434616
10207,12067.0,0,1,0,10.018664698758844,9.87962177466566,10.128845810488954
10208,43009.0,0,0,1,2.2824847100184322,2.59011326321004,1.8675285671909494
10209,8026.0,0,0,0,14.910391963821969,15.291381282988857,15.515679638693221
10210,49070.0,1,1,1,15.840619457498498,15.930694161447121,14.82168817886253
10211,38362.0,0,0,1,46.266491372782525,46.74481026231623,45.785228340237204
10212,44843.0,1,1,1,30.139417272106495,30.212136439394293,28.418117373324385
10213,8311.0,0,0,1,24.85674257669671,25.709477695241375,22.84203667705362
10214,31801.0,0,0,1,67.59655276508323,68.88359529570869,66.77516440498299
10215,62326.0,0,1,0,288.2385629517731,289.5385380813583,290.7786256005757
10216,7737.0,0,0,1,48.59567296337099,48.78825885537713,47.82465456609082
10217,21651.0,0,1,1,4.943930008370059,4.376703387900396,3.7402020226706227
10218,29438.0,0,0,0,59.31704870996524,59.38111341068903,60.77709709780047
10219,15618.0,1,0,0,118.08540864734412,119.29376032675404,119.68800100055846
10220,16346.0,1,1,1,85.7703141969881,86.27968737210789,84.75790059662862
10221,14767.0,1,1,1,68.0871723256133,68.38345555809683,65.5597007936284
10222,97541.0,1,1,1,35.39785932580424,34.59732273269012,33.56178299744433
10223,45784.0,1,0,0,27.074911766940833,27.63845222051303,28.786090690788296
10224,8828.0,0,0,1,25.784738423282555,26.141477530157324,24.830868214512833
10225,2827.0,0,0,0,40.04190737042188,40.48383499124586,41.656462438161526
10226,13101.0,0,0,1,85.19432387109676,85.79751423817376,84.49073852692172
10227,12583.0,0,0,0,32.16069874899603,32.45242602352333,35.06253042676356
10228,48417.0,0,0,1,62.626031772285536,62.99032437999334,60.82112638592782
10229,44411.0,1,0,1,42.8968394514814,43.349304951018226,42.78647857329804
10230,14517.0,0,0,1,83.87883860829956,85.45274500330665,82.13945319138529
10231,21813.0,0,0,0,42.59662567887286,42.84090968885582,43.15356863572314
10232,13459.0,0,0,1,44.33385121819261,45.38088581228015,43.19553178942179
